Brand,Category,Title,Text,Rating,Date,Source,Clean_Text
Seasalt Cornwall,Ethical Fashion,Easy ordering process and a very quick…,Easy ordering process and a very quick delivery time!!  Also so pleased that the dresses arrived nicely packaged unlike some other major stores who send clothes in a bundle heavily creased. A** for Seasalt.  Needless to say the dress is fabulous.,5,2026-07-07 12:08:28+00:00,Trustpilot,easy ordering process quick delivery time also pleased dress arrived nicely packaged unlike major store send clothes bundle heavily creased seasalt needless say dress fabulous
Seasalt Cornwall,Ethical Fashion,Excellent Service,Website easy to navigate. I ordered a dress for a wedding I had seen in our local store. The dress was at a discounted price and I received a further discount via the website. My dress arrived in store within a couple of days.  It fits beautifully. I can highly recommend Seasalt.,5,2026-07-07 11:51:15+00:00,Trustpilot,website easy navigate ordered dress wedding seen local store dress discounted price received discount via website dress arrived store within couple day fit beautifully highly recommend seasalt
Seasalt Cornwall,Ethical Fashion,Easy to order,"Easy to order, came within a few days, very pleased with the product.",5,2026-07-07 11:46:57+00:00,Trustpilot,easy order came within day pleased product
ASOS,Fast Fashion,Don’t bother ordering stuff in the…,"Don’t bother ordering stuff in the summer or how they claim, busier times. Standard delivery does not specify honest ETA, and you’ll see later a note on ur account that it takes 8 days. Wtf is wrong with whoever manages the logistics of Asos? You ask people to pay for next day, they fail as well as couriers are sh!t. Then you take ages to refund a return and again ages to process and deliver an order. Over a week in 2026… you are a cheap quality service. Never again. Better go straight to the merchant website. 1% of cx a month lost, then you’ll be surprised you need to boost more sales. I hope Temu and Shein dissolve you even more! Worst shopping experience in 2026 in UK. Old systems ran by old people with poor management strategies…",1,2026-07-07 11:31:19+00:00,Trustpilot,dont bother ordering stuff summer claim busier time standard delivery specify honest eta youll see later note ur account take day wtf wrong whoever manages logistics asos ask people pay next day fail well courier sht take age refund return age process deliver order week cheap quality service never better go straight merchant website cx month lost youll surprised need boost sale hope temu shein dissolve even worst shopping experience uk old system ran old people poor management strategy
Lucy & Yak,Ethical Fashion,"No Package, No Refund, No Help","I absolutely love your brand, and after finally being able to afford to buy something from you, I've had a **HORRIBLE** experience. Do you have my clothes? Or my money? Because I have neither. You entered my address incorrectly (I've already verified that the address I provided on your website was 100% correct). When the package arrived in Spain, it couldn't be delivered because of the incorrect address. I contacted your customer support, and you told me you had reached out to the courier and that the issue had been resolved. Imagine my surprise when the courier informed me that **nobody** had provided them with a corrected address, and that the package had been returned to the sender. I've been trying to contact you, but of course I have to wait 24–48 hours for a reply and I'm told not to send any more emails in the meantime. You haven't offered me any solution whatsoever, and you don't even reply to me on social media. So here I am, looking like a complete fool, with no money and no clothes—which were supposed to be a birthday present. Thanks for nothing.",1,2026-07-07 11:12:57+00:00,Trustpilot,absolutely love brand finally able afford buy something ive horrible experience clothes money neither entered address incorrectly ive already verified address provided website correct package arrived spain couldnt delivered incorrect address contacted customer support told reached courier issue resolved imagine surprise courier informed nobody provided corrected address package returned sender ive trying contact course wait hour reply im told send email meantime havent offered solution whatsoever dont even reply social medium looking like complete fool money clotheswhich supposed birthday present thanks nothing
Seasalt Cornwall,Ethical Fashion,Quick,"Quick, efficient and article just as described - plus it fits and looks good!",5,2026-07-07 11:03:59+00:00,Trustpilot,quick efficient article described plus fit look good
Seasalt Cornwall,Ethical Fashion,Good quality,"Good quality, good sizing and lovely styles",5,2026-07-07 10:31:31+00:00,Trustpilot,good quality good sizing lovely style
Boohoo,Fast Fashion,"Don't buy from Boohoo if you are after good quality clothes, value your time and sanity","1. The seller is breaking the law by not adhering to Consumer Rights Act 2015. 2. Their agents refused to start a complaint procedure which is against the law. 3. They are not forwarding the complaint to their management, which is against the law. 4. Their return system is broken. 5. I returned all the items in their original condition and thry are refusing to refund. 6. The merchandise quality is unacceptable",1,2026-07-07 10:18:43+00:00,Trustpilot,seller breaking law adhering consumer right act agent refused start complaint procedure law forwarding complaint management law return system broken returned item original condition thry refusing refund merchandise quality unacceptable
Seasalt Cornwall,Ethical Fashion,Good experience,"I liked the dresses, that fitted well. Service prompt.",5,2026-07-07 09:18:04+00:00,Trustpilot,liked dress fitted well service prompt
Seasalt Cornwall,Ethical Fashion,Lovely vibrant colours,"Lovely vibrant colours, great to wear lightweight snd cool in this weather.  Good fit.",5,2026-07-07 08:50:20+00:00,Trustpilot,lovely vibrant colour great wear lightweight snd cool weather good fit
Seasalt Cornwall,Ethical Fashion,Sea salt dresses.,The two dresses arrived very quickly. They beautifully folded and well packaged so that they could be worn straight away. Unfortunately I have returned them because they were a little small.,5,2026-07-07 08:34:55+00:00,Trustpilot,two dress arrived quickly beautifully folded well packaged could worn straight away unfortunately returned little small
Seasalt Cornwall,Ethical Fashion,Quality clothing and excellent buying &…,Quality clothing and excellent buying & returns processes,5,2026-07-07 07:37:52+00:00,Trustpilot,quality clothing excellent buying return process
Boohoo,Fast Fashion,Item ‘delivered’ - it wasn’t and the ai bot for customer service is awful!,"I ordered on boohoo.com for an item through one of their ‘partners’ and the item magically said delivered when it wasn’t. I have been waiting since July 1st for a resolution, was told it would take almost a week to get an answer to a simple question of replacing the item I had not received because the delivery driver put it in a ‘safe place’ that doesn’t exist on my property or with a neighbour. I was asked if I wanted a replacement today as the partner has agreed to it and Now I’ve replied to an agents question on the app, the ai bot has started the whole process again? I used to use boohoo all the time but I have plenty choice words I could use to describe the service I have received since the item was dispatched on June 25th?! I want a refund and to speak to somebody on a live chat, not waiting days inbetween messages. Absolutely atrocious service and I’ll be taking my money elsewhere in future.",1,2026-07-07 00:42:55+00:00,Trustpilot,ordered boohoocom item one partner item magically said delivered wasnt waiting since july st resolution told would take almost week get answer simple question replacing item received delivery driver put safe place doesnt exist property neighbour asked wanted replacement today partner agreed ive replied agent question app ai bot started whole process used use boohoo time plenty choice word could use describe service received since item dispatched june th want refund speak somebody live chat waiting day inbetween message absolutely atrocious service ill taking money elsewhere future
Seasalt Cornwall,Ethical Fashion,Really liked the dresses,"Really liked the dresses I ordered but, unfortunately, they were much too big and I had to return them. Will try again in the future, buying a smaller size.",3,2026-07-07 00:35:17+00:00,Trustpilot,really liked dress ordered unfortunately much big return try future buying smaller size
ASOS,Fast Fashion,Terrible customer service,"Terrible customer service, requested an exchange, operator told me this would be done, the next day they issued me a refund. The trainers have now gone up by £30 in price and ASOS won’t honour the original price.",1,2026-07-06 23:36:20+00:00,Trustpilot,terrible customer service requested exchange operator told would done next day issued refund trainer gone price asos wont honour original price
Seasalt Cornwall,Ethical Fashion,Good service,"Good service, timely delivery, very happy with products.  My first go-to when looking for new clothing.",5,2026-07-06 22:55:51+00:00,Trustpilot,good service timely delivery happy product first goto looking new clothing
Seasalt Cornwall,Ethical Fashion,Size I ordered was good fit,"Size I ordered was good fit, the delivery very quick I would certainly order again",5,2026-07-06 22:45:31+00:00,Trustpilot,size ordered good fit delivery quick would certainly order
Boohoo,Fast Fashion,I used to love boohoo but was totally…,"I used to love boohoo but was totally shocked when i ordered a large order for holiday. The quality is terrible, everything very see through and just rough. Such a shame as it was my go to place for holiday shopping, i returned about 75% of a £330 order.",1,2026-07-06 22:45:17+00:00,Trustpilot,used love boohoo totally shocked ordered large order holiday quality terrible everything see rough shame go place holiday shopping returned order
Missguided,Fast Fashion,Absolutely shocking company,"Absolutely shocking company, ruined my wedding.",1,2026-07-06 22:07:46+00:00,Trustpilot,absolutely shocking company ruined wedding
Seasalt Cornwall,Ethical Fashion,I like the Seasalt clothes,"I like the Seasalt clothes, being lovely patterns, usually cotton and flattering to wear. Thankyou",5,2026-07-06 21:47:46+00:00,Trustpilot,like seasalt clothes lovely pattern usually cotton flattering wear thankyou
Missguided,Fast Fashion,Ordered two items from Missguided at…,Ordered two items from Missguided at the end of May and Evri were delivering it( the worst courier company ever) it was expected on the 6th of June but there was an issue when I emailed them about it they told me they had lost my parcel and that I should notify the shipper( Missguided)and they themselves would also contact them regarding this I emailed Missguided and I got an email back to say it was still in the time frame until 18/06/2026 and that’s the date they emailed me on 🙄 I have sent another email to ask for an update on this since it is now well past the time frame of 18/06/2026 and I haven’t heard anything from them is this a scam they take your money and don’t deliver the goods I definitely will not be buying from this scam company again I wish I’d looked at the reviews on here beforehand! so anyone thinking of doing so please read the reviews and please DO NOT BUY FROM THESE SCAMMERS!!!!!,1,2026-07-06 21:23:43+00:00,Trustpilot,ordered two item missguided end may evri delivering worst courier company ever expected th june issue emailed told lost parcel notify shipper missguidedand would also contact regarding emailed missguided got email back say still time frame thats date emailed sent another email ask update since well past time frame havent heard anything scam take money dont deliver good definitely buying scam company wish id looked review beforehand anyone thinking please read review please buy scammer
