Brand,Category,Title,Text,Rating,Date,Source
Seasalt Cornwall,Ethical Fashion,Easy ordering process and a very quick…,Easy ordering process and a very quick delivery time!!  Also so pleased that the dresses arrived nicely packaged unlike some other major stores who send clothes in a bundle heavily creased. A** for Seasalt.  Needless to say the dress is fabulous.,5,2026-07-07 12:08:28+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Excellent Service,Website easy to navigate. I ordered a dress for a wedding I had seen in our local store. The dress was at a discounted price and I received a further discount via the website. My dress arrived in store within a couple of days.  It fits beautifully. I can highly recommend Seasalt.,5,2026-07-07 11:51:15+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Easy to order,"Easy to order, came within a few days, very pleased with the product.",5,2026-07-07 11:46:57+00:00,Trustpilot
ASOS,Fast Fashion,Don’t bother ordering stuff in the…,"Don’t bother ordering stuff in the summer or how they claim, busier times. Standard delivery does not specify honest ETA, and you’ll see later a note on ur account that it takes 8 days. Wtf is wrong with whoever manages the logistics of Asos? You ask people to pay for next day, they fail as well as couriers are sh!t. Then you take ages to refund a return and again ages to process and deliver an order. Over a week in 2026… you are a cheap quality service. Never again. Better go straight to the merchant website. 1% of cx a month lost, then you’ll be surprised you need to boost more sales. I hope Temu and Shein dissolve you even more! Worst shopping experience in 2026 in UK. Old systems ran by old people with poor management strategies…",1,2026-07-07 11:31:19+00:00,Trustpilot
Lucy & Yak,Ethical Fashion,"No Package, No Refund, No Help","I absolutely love your brand, and after finally being able to afford to buy something from you, I've had a **HORRIBLE** experience. Do you have my clothes? Or my money? Because I have neither. You entered my address incorrectly (I've already verified that the address I provided on your website was 100% correct). When the package arrived in Spain, it couldn't be delivered because of the incorrect address. I contacted your customer support, and you told me you had reached out to the courier and that the issue had been resolved. Imagine my surprise when the courier informed me that **nobody** had provided them with a corrected address, and that the package had been returned to the sender. I've been trying to contact you, but of course I have to wait 24–48 hours for a reply and I'm told not to send any more emails in the meantime. You haven't offered me any solution whatsoever, and you don't even reply to me on social media. So here I am, looking like a complete fool, with no money and no clothes—which were supposed to be a birthday present. Thanks for nothing.",1,2026-07-07 11:12:57+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Quick,"Quick, efficient and article just as described - plus it fits and looks good!",5,2026-07-07 11:03:59+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Good quality,"Good quality, good sizing and lovely styles",5,2026-07-07 10:31:31+00:00,Trustpilot
Boohoo,Fast Fashion,"Don't buy from Boohoo if you are after good quality clothes, value your time and sanity","1. The seller is breaking the law by not adhering to Consumer Rights Act 2015. 2. Their agents refused to start a complaint procedure which is against the law. 3. They are not forwarding the complaint to their management, which is against the law. 4. Their return system is broken. 5. I returned all the items in their original condition and thry are refusing to refund. 6. The merchandise quality is unacceptable",1,2026-07-07 10:18:43+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Good experience,"I liked the dresses, that fitted well. Service prompt.",5,2026-07-07 09:18:04+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Lovely vibrant colours,"Lovely vibrant colours, great to wear lightweight snd cool in this weather.  Good fit.",5,2026-07-07 08:50:20+00:00,Trustpilot
